Datetime,N
2018-11-07,115
2018-11-11,835
2018-11-14,649
2018-11-18,581
2018-11-21,379
2018-11-25,562
2018-11-28,175
2018-12-02,500
2018-12-05,189
2018-12-09,540
2018-12-12,127
2018-12-16,479
2018-12-19,40
2018-12-23,449
2018-12-26,192
2018-12-30,372
2019-01-02,137
2019-01-06,501
2019-01-09,70
2019-01-13,503
2019-01-20,324
2019-01-23,150
2019-01-27,436
2019-01-30,43
2019-02-03,474
2019-02-06,66
2019-02-10,472
2019-02-13,151
2019-02-17,364
2019-02-20,68
2019-02-24,445
2019-02-27,111
2019-03-03,406
2019-03-04,214
2019-03-10,533
2019-03-13,239
2019-03-17,439
2019-03-20,246
2019-03-24,533
2019-03-27,212
2019-03-31,71
2019-04-03,124
2019-04-07,414
2019-04-10,80
2019-04-14,329
2019-04-17,126
2019-04-21,459
2019-04-24,18
2019-04-28,385
2019-05-01,84
2019-05-05,209
2019-05-08,68
2019-05-12,387
2019-05-15,120
2019-05-19,247
2019-05-22,87
2019-05-26,559
2019-05-29,201
2019-06-02,549
2019-06-05,165
2019-06-09,594
2019-06-12,581
2019-06-15,187
2019-06-16,544
2019-06-19,412
2019-06-23,540
2019-06-26,379
2019-06-30,144
2019-07-03,527
2019-07-07,557
2019-07-10,489
2019-07-14,485
2019-07-17,392
2019-07-21,419
2019-07-24,294
2019-07-28,471
2019-07-31,209
2019-08-03,175
2019-08-04,652
2019-08-07,460
2019-08-10,573
2019-08-11,748
2019-08-14,366
2019-08-17,383
2019-08-18,613
2019-08-21,310
2019-08-24,1055
2019-08-25,438
2019-08-28,379
2019-08-31,257
2019-09-01,526
2019-09-02,153
2019-09-04,238
2019-09-08,417
2019-09-11,365
2019-09-14,315
2019-09-15,192
2019-09-18,314
2019-09-21,525
2019-09-22,558
2019-09-25,195
2019-09-28,516
2019-09-29,376
2019-10-02,185
2019-10-06,219
